type,category,vacancy_type,vacancy,lastupdate,time of api
P,HOURLY,A,83,2021-03-11 10:57:03,2021-03-11 11:00:00+00:00
P,HOURLY,A,78,2021-03-11 11:11:04,2021-03-11 11:15:00+00:00
P,HOURLY,A,61,2021-03-11 11:27:03,2021-03-11 11:30:00+00:00
P,HOURLY,A,59,2021-03-11 11:41:03,2021-03-11 11:45:00+00:00
P,HOURLY,A,54,2021-03-11 11:57:03,2021-03-11 12:00:00+00:00
P,HOURLY,A,39,2021-03-11 12:11:03,2021-03-11 12:15:00+00:00
P,HOURLY,A,30,2021-03-11 12:27:03,2021-03-11 12:30:00+00:00
P,HOURLY,A,18,2021-03-11 12:41:03,2021-03-11 12:45:00+00:00
P,HOURLY,A,2,2021-03-11 12:57:03,2021-03-11 13:00:00+00:00
P,HOURLY,A,0,2021-03-11 13:13:04,2021-03-11 13:15:00+00:00
P,HOURLY,A,1,2021-03-11 13:27:06,2021-03-11 13:30:00+00:00
P,HOURLY,A,3,2021-03-11 13:43:03,2021-03-11 13:45:00+00:00
P,HOURLY,A,0,2021-03-11 13:57:03,2021-03-11 14:00:00+00:00
P,HOURLY,A,2,2021-03-11 14:11:03,2021-03-11 14:15:00+00:00
P,HOURLY,A,0,2021-03-11 14:27:03,2021-03-11 14:30:00+00:00
P,HOURLY,A,2,2021-03-11 14:41:03,2021-03-11 14:45:00+00:00
P,HOURLY,A,6,2021-03-11 14:57:03,2021-03-11 15:00:00+00:00
P,HOURLY,A,11,2021-03-11 15:27:03,2021-03-11 15:30:00+00:00
P,HOURLY,A,22,2021-03-11 15:41:03,2021-03-11 15:45:00+00:00
P,HOURLY,A,23,2021-03-11 15:57:03,2021-03-11 16:00:00+00:00
P,HOURLY,A,21,2021-03-11 16:11:04,2021-03-11 16:15:00+00:00
P,HOURLY,A,25,2021-03-11 16:27:03,2021-03-11 16:30:00+00:00
P,HOURLY,A,23,2021-03-11 16:43:03,2021-03-11 16:45:00+00:00
P,HOURLY,A,35,2021-03-11 16:57:04,2021-03-11 17:00:00+00:00
P,HOURLY,A,40,2021-03-11 17:11:03,2021-03-11 17:15:00+00:00
P,HOURLY,A,44,2021-03-11 17:27:03,2021-03-11 17:30:00+00:00
P,HOURLY,A,46,2021-03-11 17:41:04,2021-03-11 17:45:00+00:00
P,HOURLY,A,49,2021-03-11 17:57:03,2021-03-11 18:00:00+00:00
P,HOURLY,A,45,2021-03-11 18:13:03,2021-03-11 18:15:00+00:00
P,HOURLY,A,46,2021-03-11 18:27:03,2021-03-11 18:30:00+00:00
P,HOURLY,A,47,2021-03-11 18:43:04,2021-03-11 18:45:00+00:00
P,HOURLY,A,48,2021-03-11 18:57:04,2021-03-11 19:00:00+00:00
P,HOURLY,A,40,2021-03-11 19:11:04,2021-03-11 19:15:00+00:00
P,HOURLY,A,27,2021-03-11 19:27:04,2021-03-11 19:30:00+00:00
P,HOURLY,A,25,2021-03-11 19:41:04,2021-03-11 19:45:00+00:00
P,HOURLY,A,22,2021-03-11 19:57:03,2021-03-11 20:00:00+00:00
P,HOURLY,A,24,2021-03-11 20:11:04,2021-03-11 20:15:00+00:00
P,HOURLY,A,31,2021-03-11 20:27:03,2021-03-11 20:30:00+00:00
P,HOURLY,A,37,2021-03-11 20:43:03,2021-03-11 20:45:00+00:00
P,HOURLY,A,52,2021-03-11 20:57:03,2021-03-11 21:00:00+00:00
P,HOURLY,A,57,2021-03-11 21:11:03,2021-03-11 21:15:00+00:00
P,HOURLY,A,72,2021-03-11 21:27:03,2021-03-11 21:30:00+00:00
P,HOURLY,A,85,2021-03-11 21:43:03,2021-03-11 21:45:00+00:00
P,HOURLY,A,101,2021-03-11 21:57:04,2021-03-11 22:00:00+00:00
P,HOURLY,A,112,2021-03-11 22:11:03,2021-03-11 22:15:00+00:00
P,HOURLY,A,130,2021-03-11 22:27:03,2021-03-11 22:30:00+00:00
P,HOURLY,A,135,2021-03-11 22:41:03,2021-03-11 22:45:00+00:00
P,HOURLY,A,138,2021-03-11 22:57:03,2021-03-11 23:00:00+00:00
P,HOURLY,A,139,2021-03-11 23:13:03,2021-03-11 23:15:00+00:00
P,HOURLY,A,141,2021-03-11 23:27:03,2021-03-11 23:30:00+00:00
P,HOURLY,A,142,2021-03-11 23:41:03,2021-03-11 23:45:00+00:00
P,HOURLY,A,143,2021-03-11 23:57:03,2021-03-12 00:00:00+00:00
P,HOURLY,A,143,2021-03-12 00:13:03,2021-03-12 00:15:00+00:00
P,HOURLY,A,145,2021-03-12 00:27:03,2021-03-12 00:30:00+00:00
P,HOURLY,A,145,2021-03-12 00:41:03,2021-03-12 00:45:00+00:00
P,HOURLY,A,145,2021-03-12 00:57:03,2021-03-12 01:00:00+00:00
P,HOURLY,A,145,2021-03-12 01:11:03,2021-03-12 01:15:00+00:00
P,HOURLY,A,145,2021-03-12 01:27:03,2021-03-12 01:30:00+00:00
P,HOURLY,A,145,2021-03-12 01:41:03,2021-03-12 01:45:00+00:00
P,HOURLY,A,145,2021-03-12 01:57:03,2021-03-12 02:00:00+00:00
P,HOURLY,A,145,2021-03-12 02:11:03,2021-03-12 02:15:00+00:00
P,HOURLY,A,145,2021-03-12 02:27:03,2021-03-12 02:30:00+00:00
P,HOURLY,A,145,2021-03-12 02:43:03,2021-03-12 02:45:00+00:00
P,HOURLY,A,145,2021-03-12 02:57:03,2021-03-12 03:00:00+00:00
P,HOURLY,A,145,2021-03-12 03:11:03,2021-03-12 03:15:00+00:00
P,HOURLY,A,145,2021-03-12 03:27:03,2021-03-12 03:30:00+00:00
P,HOURLY,A,145,2021-03-12 03:41:03,2021-03-12 03:45:00+00:00
P,HOURLY,A,145,2021-03-12 04:27:03,2021-03-12 04:30:00+00:00
P,HOURLY,A,145,2021-03-12 04:41:03,2021-03-12 04:45:00+00:00
P,HOURLY,A,145,2021-03-12 04:57:03,2021-03-12 05:00:00+00:00
P,HOURLY,A,145,2021-03-12 05:11:03,2021-03-12 05:15:00+00:00
P,HOURLY,A,145,2021-03-12 05:27:03,2021-03-12 05:30:00+00:00
P,HOURLY,A,145,2021-03-12 05:41:03,2021-03-12 05:45:00+00:00
P,HOURLY,A,145,2021-03-12 05:57:03,2021-03-12 06:00:00+00:00
P,HOURLY,A,145,2021-03-12 06:11:03,2021-03-12 06:15:00+00:00
P,HOURLY,A,145,2021-03-12 06:27:03,2021-03-12 06:30:00+00:00
P,HOURLY,A,145,2021-03-12 06:41:03,2021-03-12 06:45:00+00:00
P,HOURLY,A,145,2021-03-12 06:57:03,2021-03-12 07:00:00+00:00
P,HOURLY,A,145,2021-03-12 07:11:03,2021-03-12 07:15:00+00:00
P,HOURLY,A,145,2021-03-12 07:27:03,2021-03-12 07:30:00+00:00
P,HOURLY,A,144,2021-03-12 07:41:03,2021-03-12 07:45:00+00:00
P,HOURLY,A,143,2021-03-12 07:57:03,2021-03-12 08:00:00+00:00
P,HOURLY,A,143,2021-03-12 08:13:03,2021-03-12 08:15:00+00:00
P,HOURLY,A,143,2021-03-12 08:27:03,2021-03-12 08:30:00+00:00
P,HOURLY,A,140,2021-03-12 08:43:03,2021-03-12 08:45:00+00:00
P,HOURLY,A,137,2021-03-12 08:57:03,2021-03-12 09:00:00+00:00
P,HOURLY,A,136,2021-03-12 09:13:03,2021-03-12 09:15:00+00:00
P,HOURLY,A,131,2021-03-12 09:27:03,2021-03-12 09:30:00+00:00
P,HOURLY,A,125,2021-03-12 09:41:03,2021-03-12 09:45:00+00:00
P,HOURLY,A,126,2021-03-12 09:57:03,2021-03-12 10:00:00+00:00
P,HOURLY,A,121,2021-03-12 10:11:04,2021-03-12 10:15:00+00:00
P,HOURLY,A,114,2021-03-12 10:27:03,2021-03-12 10:30:00+00:00
P,HOURLY,A,109,2021-03-12 10:41:03,2021-03-12 10:45:00+00:00
P,HOURLY,A,106,2021-03-12 10:57:03,2021-03-12 11:00:00+00:00
P,HOURLY,A,95,2021-03-12 11:13:04,2021-03-12 11:15:00+00:00
P,HOURLY,A,88,2021-03-12 11:27:03,2021-03-12 11:30:00+00:00
P,HOURLY,A,78,2021-03-12 11:41:03,2021-03-12 11:45:00+00:00
P,HOURLY,A,71,2021-03-12 11:57:03,2021-03-12 12:00:00+00:00
P,HOURLY,A,65,2021-03-12 12:11:03,2021-03-12 12:15:00+00:00
P,HOURLY,A,72,2021-03-12 12:27:04,2021-03-12 12:30:00+00:00
P,HOURLY,A,59,2021-03-12 12:41:03,2021-03-12 12:45:00+00:00
P,HOURLY,A,48,2021-03-12 12:57:03,2021-03-12 13:00:00+00:00
P,HOURLY,A,50,2021-03-12 13:11:03,2021-03-12 13:15:00+00:00
P,HOURLY,A,42,2021-03-12 13:27:04,2021-03-12 13:30:00+00:00
P,HOURLY,A,34,2021-03-12 13:43:03,2021-03-12 13:45:00+00:00
P,HOURLY,A,32,2021-03-12 13:57:04,2021-03-12 14:00:00+00:00
P,HOURLY,A,33,2021-03-12 14:11:03,2021-03-12 14:15:00+00:00
P,HOURLY,A,26,2021-03-12 14:27:03,2021-03-12 14:30:00+00:00
P,HOURLY,A,22,2021-03-12 14:43:03,2021-03-12 14:45:00+00:00
